REGULATING_AGENCY,WATER_SYSTEM_NUMBER,WATER_SYSTEM_NAME,CLASSIFICATION,POPULATION,SERVICE_CONNECTIONS,COUNTY,CITY,ZIPCODE,VIOLATION_NUMBER,VIOLATION_TYPE_NAME,ANALYTE_NAME,RESULT,MCL,VIOL_BEGIN_DATE,VIOL_END_DATE,ENF_ACTION_NUMBER,ENF_ACTION_ISSUE_DATE,ENF_ACTION_TYPE_ISSUED
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912005,"MCL,  AVERAGE",ARSENIC,0.041 MG/L,0.010 MG/L,4/1/13,6/30/13,9719009,3/5/18,STATE INTENTIONAL NO ACTION TAKEN
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912005,"MCL,  AVERAGE",ARSENIC,0.041 MG/L,0.010 MG/L,4/1/13,6/30/13,919012,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912006,"MCL,  AVERAGE",ARSENIC,0.039 MG/L,0.010 MG/L,7/1/13,9/30/13,919012,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912006,"MCL,  AVERAGE",ARSENIC,0.039 MG/L,0.010 MG/L,7/1/13,9/30/13,9719009,3/5/18,STATE INTENTIONAL NO ACTION TAKEN
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912007,"MCL,  AVERAGE",COMBINED RADIUM (-226 & -228),45 PCI/L,5 PCI/L,7/1/13,9/30/13,9719003,11/19/13,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912008,"MCL,  AVERAGE",ARSENIC,0.075 MG/L,0.010 MG/L,10/1/13,12/31/13,919012,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912008,"MCL,  AVERAGE",ARSENIC,0.075 MG/L,0.010 MG/L,10/1/13,12/31/13,9719009,3/5/18,STATE INTENTIONAL NO ACTION TAKEN
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912009,"MCL,  AVERAGE",ARSENIC,0.043 MG/L,0.010 MG/L,1/1/14,3/31/14,919012,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912009,"MCL,  AVERAGE",ARSENIC,0.043 MG/L,0.010 MG/L,1/1/14,3/31/14,9719005,3/10/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912010,"MCL,  AVERAGE",COMBINED URANIUM,25 PCI/L,20 PCI/L,4/1/14,6/30/14,9719004,6/17/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912011,"MCL,  AVERAGE",ARSENIC,0.034 MG/L,0.010 MG/L,4/1/14,6/30/14,919012,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912011,"MCL,  AVERAGE",ARSENIC,0.034 MG/L,0.010 MG/L,4/1/14,6/30/14,9719005,3/10/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912012,"MCL,  AVERAGE",ARSENIC,0.047 MG/L,0.010 MG/L,7/1/14,9/30/14,919012,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912012,"MCL,  AVERAGE",ARSENIC,0.047 MG/L,0.010 MG/L,7/1/14,9/30/14,9719005,3/10/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912013,"MCL,  AVERAGE",ARSENIC,0.025 MG/L,0.010 MG/L,10/1/14,12/31/14,9719005,3/10/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912013,"MCL,  AVERAGE",ARSENIC,0.025 MG/L,0.010 MG/L,10/1/14,12/31/14,919012,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912014,"MCL,  AVERAGE",ARSENIC,0.023 MG/L,0.010 MG/L,1/1/15,3/31/15,9719005,3/10/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912014,"MCL,  AVERAGE",ARSENIC,0.023 MG/L,0.010 MG/L,1/1/15,3/31/15,919012,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912015,"MCL,  AVERAGE",ARSENIC,0.026 MG/L,0.010 MG/L,4/1/15,6/30/15,9719005,3/10/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912016,"MCL,  AVERAGE",ARSENIC,0.035 MG/L,0.010 MG/L,7/1/15,9/30/15,9719005,3/10/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912017,"MCL,  AVERAGE",ARSENIC,0.034 MG/L,0.010 MG/L,10/1/15,12/31/15,9719005,3/10/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912018,"MCL,  AVERAGE",COMBINED URANIUM,26 PCI/L,20 PCI/L,1/1/16,3/31/16,9719004,6/17/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912019,"MCL,  AVERAGE",ARSENIC,0.042 MG/L,0.010 MG/L,1/1/16,3/31/16,9719005,3/10/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912020,"MCL,  AVERAGE",COMBINED URANIUM,26 PCI/L,20 PCI/L,1/1/16,3/31/16,9719004,6/17/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912021,"MCL,  AVERAGE",ARSENIC,0.043 MG/L,0.010 MG/L,4/1/16,6/30/16,9719005,3/10/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912022,"MCL,  AVERAGE",ARSENIC,0.037 MG/L,0.010 MG/L,7/1/16,9/30/16,9719005,3/10/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912023,"MCL,  AVERAGE",ARSENIC,0.036 MG/L,0.010 MG/L,10/1/16,12/31/16,9719005,3/10/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912024,"MCL,  AVERAGE",ARSENIC,0.065 MG/L,0.010 MG/L,1/1/17,3/31/17,9719005,3/10/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912025,"MCL,  AVERAGE",ARSENIC,.080 MG/L,0.010 MG/L,4/1/17,6/30/17,9719005,3/10/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912026,"MCL,  AVERAGE",ARSENIC,0.088 MG/L,0.010 MG/L,7/1/17,9/30/17,9719005,3/10/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912027,"MCL,  AVERAGE",ARSENIC,.089 MG/L,0.010 MG/L,10/1/17,12/31/17,9719005,3/10/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912028,"MCL,  AVERAGE",ARSENIC,0.056 MG/L,0.010 MG/L,1/1/18,3/31/18,9719005,3/10/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912029,"MCL,  AVERAGE",ARSENIC,0.033 MG/L,0.010 MG/L,4/1/18,6/30/18,9719005,3/10/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912030,"MCL,  AVERAGE",COMBINED URANIUM,21 PCI/L,20 PCI/L,4/1/18,6/30/18,9719004,6/17/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912031,"MCL,  AVERAGE",ARSENIC,0.025 MG/L,0.010 MG/L,7/1/18,9/30/18,9719005,3/10/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912032,"MCL,  AVERAGE",ARSENIC,0.026 MG/L,0.010 MG/L,10/1/18,12/31/18,9719005,3/10/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912033,"MCL,  AVERAGE",ARSENIC,0.034 MG/L, ,1/1/19,3/31/19,9719005,3/10/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,COMMUNITY,120,71,KERN,WELDON,93283,9912034,"MCL,  AVERAGE",COMBINED URANIUM,21 PCI/L, ,1/1/19,3/31/19,9719004,6/17/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500544,ENOS LANE PUBLIC UTILITY DISTRICT,COMMUNITY,270,95,KERN,BAKERSFIELD,93312,1219013,"MCL,  AVERAGE",ARSENIC,.01300000 MG/L,0.010 MG/L,4/1/12,6/30/12,1219017,7/6/12,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500544,ENOS LANE PUBLIC UTILITY DISTRICT,COMMUNITY,270,95,KERN,BAKERSFIELD,93312,1219014,"MCL,  AVERAGE",ARSENIC,.01700000 MG/L,0.010 MG/L,1/1/12,3/31/12,1219017,7/6/12,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500544,ENOS LANE PUBLIC UTILITY DISTRICT,COMMUNITY,270,95,KERN,BAKERSFIELD,93312,1219025,"MCL,  AVERAGE",ARSENIC,.01400000 MG/L,0.010 MG/L,7/1/12,9/30/12,1219017,7/6/12,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500544,ENOS LANE PUBLIC UTILITY DISTRICT,COMMUNITY,270,95,KERN,BAKERSFIELD,93312,9612007,"MCL,  AVERAGE",ARSENIC,0.012 MG/L,0.010 MG/L,10/1/12,12/31/12,1219017,7/6/12,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500544,ENOS LANE PUBLIC UTILITY DISTRICT,COMMUNITY,270,95,KERN,BAKERSFIELD,93312,9612010,"MCL,  AVERAGE",ARSENIC,0.011 MG/L,0.010 MG/L,1/1/18,3/31/18,9719013,8/10/18,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500544,ENOS LANE PUBLIC UTILITY DISTRICT,COMMUNITY,270,95,KERN,BAKERSFIELD,93312,9612011,"MCL,  AVERAGE",ARSENIC,0.011 MG/L,0.010 MG/L,4/1/18,6/30/18,9719013,8/10/18,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500546,HARVEST MOON MUTUAL WATER CO,COMMUNITY,138,49,KERN,BAKERSFIELD,93312,9912006,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.000009 MG/L,0.000005 MG/L,4/1/18,6/30/18,9919006,6/29/18,CA STATE ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500546,HARVEST MOON MUTUAL WATER CO,COMMUNITY,138,49,KERN,BAKERSFIELD,93312,9912007,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.000011 MG/L,0.000005 MG/L,7/1/18,9/30/18,9919006,6/29/18,CA STATE ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500555,MUSTANG MUTUAL WATER SYSTEM,COMMUNITY,200,51,KERN,BAKERSFIELD,93312,9619005,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.000010 MG/L,0.000005 MG/L,4/1/18,6/30/18,9519005,6/18/18,CA STATE ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500555,MUSTANG MUTUAL WATER SYSTEM,COMMUNITY,200,51,KERN,BAKERSFIELD,93312,9619006,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.000014 MG/L,0.000005 MG/L,7/1/18,9/30/18,9519005,6/18/18,CA STATE ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500560,KRANENBURG WATER SYSTEM,COMMUNITY,42,15,KERN,BAKERSFIELD,93312,9412003,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE", , ,10/1/18,12/31/18,9519008,4/5/19,INFORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500561,ROUND MOUNTAIN WATER COMPANY,COMMUNITY,50,17,KERN,BAKERSFIELD,93308,9912009,"MCL,  AVERAGE",COMBINED URANIUM,34.3 PCI/L,20 PCI/L,1/1/13,3/31/13,619016,3/9/06,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500561,ROUND MOUNTAIN WATER COMPANY,COMMUNITY,50,17,KERN,BAKERSFIELD,93308,9912010,"MCL,  AVERAGE",COMBINED URANIUM,32 PCI/L,20 PCI/L,4/1/13,6/30/13,619016,3/9/06,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500561,ROUND MOUNTAIN WATER COMPANY,COMMUNITY,50,17,KERN,BAKERSFIELD,93308,9912011,"MCL,  AVERAGE",COMBINED URANIUM,31.8 PCI/L,20 PCI/L,7/1/13,9/30/13,619016,3/9/06,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500561,ROUND MOUNTAIN WATER COMPANY,COMMUNITY,50,17,KERN,BAKERSFIELD,93308,9912012,"MCL,  AVERAGE",COMBINED URANIUM,27.3 PCI/L,20 PCI/L,10/1/13,12/31/13,619016,3/9/06,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500561,ROUND MOUNTAIN WATER COMPANY,COMMUNITY,50,17,KERN,BAKERSFIELD,93308,9912013,"MCL,  AVERAGE",COMBINED URANIUM,27 PCI/L,20 PCI/L,1/1/14,3/31/14,619016,3/9/06,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500561,ROUND MOUNTAIN WATER COMPANY,COMMUNITY,50,17,KERN,BAKERSFIELD,93308,9912014,"MCL,  AVERAGE",COMBINED URANIUM,24 PCI/L,20 PCI/L,4/1/14,6/30/14,619016,3/9/06,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500561,ROUND MOUNTAIN WATER COMPANY,COMMUNITY,50,17,KERN,BAKERSFIELD,93308,9912016,"MCL,  AVERAGE",COMBINED URANIUM,26.5 PCI/L,20 PCI/L,7/1/14,9/30/14,619016,3/9/06,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500561,ROUND MOUNTAIN WATER COMPANY,COMMUNITY,50,17,KERN,BAKERSFIELD,93308,9912017,"MCL,  AVERAGE",COMBINED URANIUM,28.0 PCI/L,20 PCI/L,10/1/14,12/31/14,619016,3/9/06,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500561,ROUND MOUNTAIN WATER COMPANY,COMMUNITY,50,17,KERN,BAKERSFIELD,93308,9912018,"MCL,  AVERAGE",COMBINED URANIUM,31.3 PCI/L,20 PCI/L,1/1/15,3/31/15,619016,3/9/06,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500561,ROUND MOUNTAIN WATER COMPANY,COMMUNITY,50,17,KERN,BAKERSFIELD,93308,9912021,"MCL,  AVERAGE",COMBINED URANIUM,31.5 PCI/L,20 PCI/L,4/1/15,6/30/15,619016,3/9/06,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500561,ROUND MOUNTAIN WATER COMPANY,COMMUNITY,50,17,KERN,BAKERSFIELD,93308,9912022,"MCL,  AVERAGE",COMBINED URANIUM,29.5 PCI/L,20 PCI/L,7/1/15,9/30/15,619016,3/9/06,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500561,ROUND MOUNTAIN WATER COMPANY,COMMUNITY,50,17,KERN,BAKERSFIELD,93308,9912023,"MCL,  AVERAGE",COMBINED URANIUM,28.8 PCI/L,20 PCI/L,10/1/15,12/31/15,619016,3/9/06,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500561,ROUND MOUNTAIN WATER COMPANY,COMMUNITY,50,17,KERN,BAKERSFIELD,93308,9912024,"MCL,  AVERAGE",COMBINED URANIUM,27.5 PCI/L,20 PCI/L,1/1/16,3/31/16,619016,3/9/06,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500561,ROUND MOUNTAIN WATER COMPANY,COMMUNITY,50,17,KERN,BAKERSFIELD,93308,9912025,"MCL,  AVERAGE",COMBINED URANIUM,29 PCI/L,20 PCI/L,4/1/16,6/30/16,619016,3/9/06,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500561,ROUND MOUNTAIN WATER COMPANY,COMMUNITY,50,17,KERN,BAKERSFIELD,93308,9912026,"MCL,  AVERAGE",COMBINED URANIUM,29.0 PCI/L,20 PCI/L,7/1/16,9/30/16,619016,3/9/06,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500561,ROUND MOUNTAIN WATER COMPANY,COMMUNITY,50,17,KERN,BAKERSFIELD,93308,9912028,"MCL,  AVERAGE",COMBINED URANIUM,30 PCI/L,20 PCI/L,10/1/16,12/31/16,619016,3/9/06,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500561,ROUND MOUNTAIN WATER COMPANY,COMMUNITY,50,17,KERN,BAKERSFIELD,93308,9912029,"MCL,  AVERAGE",COMBINED URANIUM,33 PCI/L,20 PCI/L,1/1/17,3/31/17,619016,3/9/06,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500561,ROUND MOUNTAIN WATER COMPANY,COMMUNITY,50,17,KERN,BAKERSFIELD,93308,9912030,"MCL,  AVERAGE",COMBINED URANIUM,31 PCI/L,20 PCI/L,4/1/17,6/30/17,619016,3/9/06,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500561,ROUND MOUNTAIN WATER COMPANY,COMMUNITY,50,17,KERN,BAKERSFIELD,93308,9912031,"MCL,  AVERAGE",COMBINED URANIUM,32 PCI/L,20 PCI/L,7/1/17,9/30/17,619016,3/9/06,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500561,ROUND MOUNTAIN WATER COMPANY,COMMUNITY,50,17,KERN,BAKERSFIELD,93308,9912032,"MCL,  AVERAGE",COMBINED URANIUM,32 PCI/L,20 PCI/L,10/1/17,12/31/17,619016,3/9/06,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500561,ROUND MOUNTAIN WATER COMPANY,COMMUNITY,50,17,KERN,BAKERSFIELD,93308,9912033,"MCL,  AVERAGE",COMBINED URANIUM,26 PCI/L,20 PCI/L,1/1/18,3/31/18,619016,3/9/06,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500561,ROUND MOUNTAIN WATER COMPANY,COMMUNITY,50,17,KERN,BAKERSFIELD,93308,9912034,"MCL,  AVERAGE",COMBINED URANIUM,26 PCI/L,20 PCI/L,4/1/18,6/30/18,619016,3/9/06,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500561,ROUND MOUNTAIN WATER COMPANY,COMMUNITY,50,17,KERN,BAKERSFIELD,93308,9912035,"MCL,  AVERAGE",COMBINED URANIUM,26 PCI/L,20 PCI/L,7/1/18,9/30/18,619016,3/9/06,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500571,"LUCKY 18 ON ROSAMOND, LLC",COMMUNITY,73,60,KERN,ROSAMOND,93560,1119031,"MCL,  AVERAGE",ARSENIC,.02100000 MG/L,0.010 MG/L,1/1/12,3/31/12,919011,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500571,"LUCKY 18 ON ROSAMOND, LLC",COMMUNITY,73,60,KERN,ROSAMOND,93560,1219035,"MCL,  AVERAGE",ARSENIC,.02100000 MG/L,0.010 MG/L,4/1/12,6/30/12,919011,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500571,"LUCKY 18 ON ROSAMOND, LLC",COMMUNITY,73,60,KERN,ROSAMOND,93560,1219036,"MCL,  AVERAGE",ARSENIC,.02300000 MG/L,0.010 MG/L,7/1/12,9/30/12,919011,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500571,"LUCKY 18 ON ROSAMOND, LLC",COMMUNITY,73,60,KERN,ROSAMOND,93560,9812002,"MCL,  AVERAGE",ARSENIC,0.024 MG/L,0.010 MG/L,10/1/12,12/31/12,919011,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500571,"LUCKY 18 ON ROSAMOND, LLC",COMMUNITY,73,60,KERN,ROSAMOND,93560,9812004,"MCL,  AVERAGE",ARSENIC,0.026 MG/L,0.010 MG/L,1/1/13,3/31/13,919011,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500571,"LUCKY 18 ON ROSAMOND, LLC",COMMUNITY,73,60,KERN,ROSAMOND,93560,9812005,"MCL,  AVERAGE",ARSENIC,0.025 MG/L,0.010 MG/L,4/1/13,6/30/13,919011,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500571,"LUCKY 18 ON ROSAMOND, LLC",COMMUNITY,73,60,KERN,ROSAMOND,93560,9812009,"MCL,  AVERAGE",ARSENIC,0.030 MG/L,0.010 MG/L,7/1/13,9/30/13,919011,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500571,"LUCKY 18 ON ROSAMOND, LLC",COMMUNITY,73,60,KERN,ROSAMOND,93560,9812010,"MCL,  AVERAGE",ARSENIC,0.030 MG/L,0.010 MG/L,10/1/13,12/31/13,919011,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500571,"LUCKY 18 ON ROSAMOND, LLC",COMMUNITY,73,60,KERN,ROSAMOND,93560,9812012,"MCL,  AVERAGE",ARSENIC,0.028 MG/L,0.010 MG/L,1/1/14,3/31/14,919011,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500571,"LUCKY 18 ON ROSAMOND, LLC",COMMUNITY,73,60,KERN,ROSAMOND,93560,9812013,"MCL,  AVERAGE",ARSENIC,0.026 MG/L,0.010 MG/L,4/1/14,6/30/14,919011,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500571,"LUCKY 18 ON ROSAMOND, LLC",COMMUNITY,73,60,KERN,ROSAMOND,93560,9812014,"MCL,  AVERAGE",ARSENIC,0.026 MG/L,0.010 MG/L,7/1/14,9/30/14,919011,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
